URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://314e.com/fhir/ValueSet/attachment-tag,1.0.0,active,,AttachmentTagVS,Attachment Tag ValueSet,"Standard semantic tags used for categorization and workflow qualification of attachments.","StructureDefinition/attachment-tag","Internal"
http://314e.com/fhir/ValueSet/observation-tag,1.0.0,active,,ObservationTagVS,Observation Tag ValueSet,"Semantic tags used in meta.tag to qualify DiagnosticReport and Observation resources participating in hierarchical parent-child resource structures.",,"Internal"
http://314e.com/fhir/ValueSet/procedure-category-broad-314e,1.0.0,draft,,ProcedureCategoryBroad314eVS,314e Broad Procedure Categories,"Top-level operational categories for procedures and service requests.","StructureDefinition/servicerequest-314e","Internal"
http://314e.com/fhir/ValueSet/procedure-category-subcategory-314e,1.0.0,draft,,ProcedureCategorySubcategory314eVS,314e Procedure Subcategories,"Procedure subcategories used for more granular operational classification.","StructureDefinition/servicerequest-314e","Internal"
