"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"time","time","","","",0,*,"","","","null {[]} {[]}
","Primitive Type time","A time during the day, with no date specified","","","","","","","","","",,,,,"",,,,"time",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"time.id","time.id","","","",0,1,"","","","string {[]} {[]}
","xml:id (or equivalent in JSON)","unique id for the element within a resource (for internal references)","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"time.extension","time.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"time.extension:timePrecision","time.extension","timePrecision","","",0,1,"","","","Extension {[CanonicalType[http://314e.com/fhir/StructureDefinition/time-precision]]} {[]}
","Usable precision of the time value","Specifies the degree of precision that is meaningful, usable
or reliable for the time value.

Example:
- hour
- minute
- second
- millisecond","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"time.extension:accuracyIndicator","time.extension","accuracyIndicator","","",0,1,"","","","Extension {[CanonicalType[http://314e.com/fhir/StructureDefinition/time-accuracy]]} {[]}
","Indicates the precision that is verified as clinically exact or accurate","Specifies the accuracy or exactness of a time value when only some part of 
the known/usable precision of time can be verified as accurate or exact and the rest is estimated or approximate.

Examples include:
- hour precision
- minute precision
- second precision
- millisecond precision
- none","","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"time.value","time.value","","","",0,1,"","","","time {[]} {[]}
","Primitive value for time","The actual value","","","","","","","","","",,,,,"",,,,"time.value",0,1,"",""
