URL,Version,Status,OIDs,Name,Title,Description,Used
http://314e.com/fhir/CodeSystem/attachment-tag,1.0.0,active,,AttachmentTagCS,Attachment Tag CodeSystem,"Codes used for semantic tagging and categorization of attachments.","ValueSet/attachment-tag"
http://314e.com/fhir/CodeSystem/observation-tag,1.0.0,active,,ObservationTagCS,Observation Tag CodeSystem,"Codes used to qualify DiagnosticReport and Observation resources within hierarchical parent-child result/report structures.","ValueSet/observation-tag-vs"
http://314e.com/fhir/CodeSystem/procedure-category-314e,1.0.0,active,,ProcedureCategory314eCS,314e Procedure Category CodeSystem,"Hierarchical procedure categories used for operational, workflow, and semantic classification of Procedure resources.","ValueSet/lab-category-subcategory-314e,ValueSet/procedure-category-broad-314e,ValueSet/procedure-category-subcategory-314e"
http://314e.com/fhir/CodeSystem/time-precision-units,1.0.0,active,,TimePrecisionUnits314E,314e Time Precision Units,"Time precision units used to indicate the actual precision of a dateTime, time, or instant value.","ValueSet/time-accuracy-units-vs,ValueSet/time-precision-units-vs"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/microorganism-by-method-vs"
http://terminology.hl7.org/CodeSystem/v3-ObservationMethod,4.0.0,active,"2.16.840.1.113883.5.84",ObservationMethod,ObservationMethod,"A code that provides additional detail about the means or technique used to ascertain the observation.    *Examples:* Blood pressure measurement method: arterial puncture vs. sphygmomanometer (Riva-Rocci), sitting vs. supine position, etc.    *OpenIssue:* Description copied from Concept Domain of same name. Must be verified. Note that the Domain has a full discussion about use of the attribute and constraining that is not appropriate for the code system description. Needs to be improved.","ValueSet/antimicrobial-susceptibility-testing-vs"
