"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"DataRequirement.codeFilter.path","DataRequirement.codeFilter.path","","","",0,1,"","","Y","string {[]} {[]}
","A code-valued attribute to filter on","The code-valued attribute of the filter. The specified path SHALL be a FHIRPath resolveable on the specified type of the DataRequirement, and SHALL consist only of identifiers, constant indexers, and .resolve(). The path is allowed to contain qualifiers (.) to traverse sub-elements, as well as indexers ([x]) to traverse multiple-cardinality sub-elements (see the [Simple FHIRPath Profile](http://hl7.org/fhir/R4/fhirpath.html#simple) for full details). Note that the index must be an integer constant. The path must resolve to an element of type code, Coding, or CodeableConcept.","The path attribute contains a [Simple FHIRPath Subset](http://hl7.org/fhir/R4/fhirpath.html#simple) that allows path traversal, but not calculation.","","","","","","","","",,,,,"",,,,"DataRequirement.codeFilter.path",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.codeFilter.searchParam","DataRequirement.codeFilter.searchParam","","","",0,1,"","","Y","string {[]} {[]}
","A coded (token) parameter to search on","A token parameter that refers to a search parameter defined on the specified type of the DataRequirement, and which searches on elements of type code, Coding, or CodeableConcept.","","","","","","","","","",,,,,"",,,,"DataRequirement.codeFilter.searchParam",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.codeFilter.valueSet","DataRequirement.codeFilter.valueSet","","","",0,1,"","","Y","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ValueSet|4.0.1]]}
","Valueset for the filter","The valueset for the code filter. The valueSet and code elements are additive. If valueSet is specified, the filter will return only those data items for which the value of the code-valued element specified in the path is a member of the specified valueset.","","","","","","","","","",,,,,"",,,,"DataRequirement.codeFilter.valueSet",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.codeFilter.code","DataRequirement.codeFilter.code","","","",0,*,"","","Y","Coding {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/coding-314e]]} {[]}
","What code is expected","The codes for the code filter. If values are given, the filter will return only those data items for which the code-valued attribute specified by the path has a value that is one of the specified codes. If codes are specified in addition to a value set, the filter returns items matching a code in the value set or one of the specified codes.","","","","","","","","","",,,,,"",,,,"DataRequirement.codeFilter.code",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.dateFilter","DataRequirement.dateFilter","","","",0,*,"","","Y","Element {[]} {[]}
","What dates/date ranges are expected","Date filters specify additional constraints on the data in terms of the applicable date range for specific elements. Each date filter specifies an additional constraint on the data, i.e. date filters are AND'ed, not OR'ed.","","","","","","","","","",,,,,"",,,,"DataRequirement.dateFilter",0,*,"","drq-2:Either a path or a searchParam must be provided, but not both {path.exists() xor searchParam.exists()}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}"
"DataRequirement.dateFilter.id","DataRequirement.dateFilter.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"DataRequirement.dateFilter.extension","DataRequirement.dateFilter.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"DataRequirement.dateFilter.path","DataRequirement.dateFilter.path","","","",0,1,"","","Y","string {[]} {[]}
","A date-valued attribute to filter on","The date-valued attribute of the filter. The specified path SHALL be a FHIRPath resolveable on the specified type of the DataRequirement, and SHALL consist only of identifiers, constant indexers, and .resolve(). The path is allowed to contain qualifiers (.) to traverse sub-elements, as well as indexers ([x]) to traverse multiple-cardinality sub-elements (see the [Simple FHIRPath Profile](http://hl7.org/fhir/R4/fhirpath.html#simple) for full details). Note that the index must be an integer constant. The path must resolve to an element of type date, dateTime, Period, Schedule, or Timing.","The path attribute contains a [Simple FHIR Subset](http://hl7.org/fhir/R4/fhirpath.html#simple) that allows path traversal, but not calculation.","","","","","","","","",,,,,"",,,,"DataRequirement.dateFilter.path",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.dateFilter.searchParam","DataRequirement.dateFilter.searchParam","","","",0,1,"","","Y","string {[]} {[]}
","A date valued parameter to search on","A date parameter that refers to a search parameter defined on the specified type of the DataRequirement, and which searches on elements of type date, dateTime, Period, Schedule, or Timing.","","","","","","","","","",,,,,"",,,,"DataRequirement.dateFilter.searchParam",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.dateFilter.value[x]","DataRequirement.dateFilter.value[x]","","","",0,1,"","","Y","dateTime {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/datetime-314e]]} {[]}
Period {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/period-314e]]} {[]}Duration {[CanonicalType[http://314e.com/fhir/ig/StructureDefinition/duration-314e]]} {[]}","The value of the filter, as a Period, DateTime, or Duration value","The value of the filter. If period is specified, the filter will return only those data items that fall within the bounds determined by the Period, inclusive of the period boundaries. If dateTime is specified, the filter will return only those data items that are equal to the specified dateTime. If a Duration is specified, the filter will return only those data items that fall within Duration before now.","","","","","","","","","",,,,,"",,,,"DataRequirement.dateFilter.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.limit","DataRequirement.limit","","","",0,1,"","","Y","positiveInt {[]} {[]}
","Number of results","Specifies a maximum number of results that are required (uses the _count search parameter).","This element can be used in combination with the sort element to specify quota requirements such as ""the most recent 5"" or ""the highest 5"".","Enables the requirement ""most recent 5 results"" to be expressed.","","","","","","","",,,,,"",,,,"DataRequirement.limit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.sort","DataRequirement.sort","","","",0,*,"","","Y","Element {[]} {[]}
","Order of the results","Specifies the order of the results to be returned.","This element can be used in combination with the sort element to specify quota requirements such as ""the most recent 5"" or ""the highest 5"". When multiple sorts are specified, they are applied in the order they appear in the resource.","Enables the requirement ""most recent 5 results"" to be expressed.","","","","","","","",,,,,"",,,,"DataRequirement.sort",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.sort.id","DataRequirement.sort.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"DataRequirement.sort.extension","DataRequirement.sort.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"DataRequirement.sort.path","DataRequirement.sort.path","","","",1,1,"","","Y","string {[]} {[]}
","The name of the attribute to perform the sort","The attribute of the sort. The specified path must be resolvable from the type of the required data. The path is allowed to contain qualifiers (.) to traverse sub-elements, as well as indexers ([x]) to traverse multiple-cardinality sub-elements. Note that the index must be an integer constant.","","","","","","","","","",,,,,"",,,,"DataRequirement.sort.path",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DataRequirement.sort.direction","DataRequirement.sort.direction","","","",1,1,"","","Y","code {[]} {[]}
","ascending | descending","The direction of the sort, ascending or descending.","","","","","","","","","",,"required","The possible sort directions, ascending or descending.","http://hl7.org/fhir/ValueSet/sort-direction|4.0.1","",,,,"DataRequirement.sort.direction",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
