URL,Version,Status,OIDs,Name,Title,Description,Used
http://314e.com/fhir/CodeSystem/attachment-tag,1.0.0,active,,AttachmentTagCS,Attachment Tag CodeSystem,"Codes used for semantic tagging and categorization of attachments.",
http://314e.com/fhir/CodeSystem/observation-tag,1.0.0,active,,ObservationTagCS,Observation Tag CodeSystem,"Codes used to qualify DiagnosticReport and Observation resources within hierarchical parent-child result/report structures.",
http://314e.com/fhir/CodeSystem/procedure-category-314e,1.0.0,active,,ProcedureCategory314eCS,314e Procedure Category CodeSystem,"Hierarchical procedure categories used for operational, workflow, and semantic classification of Procedure resources.",
http://314e.com/fhir/CodeSystem/time-precision-units,1.0.0,active,,TimePrecisionUnits314E,314e Time Precision Units,"Time precision units used to indicate the actual precision of a dateTime, time, or instant value.",
